ID,mcc,mnc,country,operator,isvaild,country_en
2892,412,1,阿富汗,Afghan Wireless Communication Company,1,Afghanistan
2893,412,20,阿富汗,Telecom Development Company Afghanistan Ltd.,1,Afghanistan
2894,412,40,阿富汗,MTN Group Afghanistan,1,Afghanistan
2895,412,50,阿富汗,Etisalat Afghanistan,1,Afghanistan
2896,276,1,阿尔巴尼亚,Albanian Mobile Communications,1,Albania
2897,276,2,阿尔巴尼亚,Vodafone Albania,1,Albania
2898,276,3,阿尔巴尼亚,Eagle Mobile,1,Albania
2899,276,4,阿尔巴尼亚,Plus Communication,1,Albania
2900,603,1,阿尔及利亚,ATM Mobilis,1,Algeria
2901,603,2,阿尔及利亚,Orascom Telecom Algerie Spa,1,Algeria
2902,603,3,阿尔及利亚,Wataniya Telecom Algerie,1,Algeria
2903,544,11,美属萨摩亚(美国),Bluesky,1,Samoa (USA)
2904,213,3,安道尔,Servei De Tele. DAndorra,1,Andorra
2905,631,2,安哥拉,UNITEL S.a.r.l.,1,Angola
2906,631,4,安哥拉,MOVICEL Telecommunications S.a.,1,Angola
2907,365,10,安圭拉,Weblinks Limited,1,Anguilla
2908,365,840,安圭拉,Cable & Wireless,1,Anguilla
2909,344,30,安提瓜和巴布达,Antigua Public Utilities Authority,1,Antigua and Barbuda
2910,344,920,安提瓜和巴布达,Cable & Wireless Caribbean Cellular (Antigua) Limi,1,Antigua and Barbuda
2911,338,50,牙买加,Antigua Wireless Ventures Limited,1,Jamaica
2912,722,10,阿根廷,Telefonica Móviles Argentina SA,1,Argentina
2913,722,20,阿根廷,NII Holdings,1,Argentina
2914,722,70,阿根廷,Telefonica Móviles Argentina SA,1,Argentina
2915,722,310,阿根廷,AMX Argentina S.A,1,Argentina
2916,722,320,阿根廷,AMX Argentina S.A,1,Argentina
2917,722,330,阿根廷,AMX Argentina S.A,1,Argentina
2918,722,34,阿根廷,Telecom Personal SA,1,Argentina
2919,722,341,阿根廷,Telecom Personal SA,1,Argentina
2920,722,350,阿根廷,Hutchinson (PORT HABLE),1,Argentina
2921,722,36,阿根廷,Telecom Personal SA,1,Argentina
2922,283,1,亚美尼亚,ArmenTel,1,Armenia
2923,283,5,亚美尼亚,K Telecom CJSC,1,Armenia
2924,363,1,阿鲁巴(荷兰王国),Servicio di Telecomunicacion di Aruba,1,Aruba (Kingdom of the Netherlands)
2925,505,1,澳洲,Telstra Corporation Limited,1,Australia
2926,505,2,澳洲,Singtel Optus Proprietary Limited,1,Australia
2927,505,3,澳洲,Vodafone Hutchison Australia Proprietary Limited,1,Australia
2928,505,4,澳洲,Department of Defence,1,Australia
2929,505,6,澳洲,Vodafone Hutchison Australia Proprietary Limited,1,Australia
2930,505,8,澳洲,One.Tel Limited,1,Australia
2931,505,12,澳洲,Vodafone Hutchison Australia Proprietary Limited,1,Australia
2932,505,13,澳洲,Rail Corporation New South Wales,1,Australia
2933,505,14,澳洲,Telecom New Zealand,1,Australia
2934,505,21,澳洲,TPG Telecom Limited,1,Australia
2935,505,38,澳洲,Vodafone Hutchison Australia Proprietary Limited,1,Australia
2936,505,71,澳洲,Telstra Corporation Limited,1,Australia
2937,505,72,澳洲,Telstra Corporation Limited,1,Australia
2938,505,90,澳洲,Singtel Optus Proprietary Limited,1,Australia
2939,505,99,澳洲,One.Tel,1,Australia
2940,232,1,奥地利,A1 Telekom Austria,1,Austria
2941,232,3,奥地利,T-Mobile Austria,1,Austria
2942,232,5,奥地利,Orange Austria,1,Austria
2943,232,7,奥地利,T-Mobile Austria,1,Austria
2944,232,9,奥地利,A1 Telekom Austria,1,Austria
2945,232,10,奥地利,Hutchison 3G,1,Austria
2946,232,11,奥地利,A1 Telekom Austria,1,Austria
2947,232,12,奥地利,yesss,1,Austria
2948,232,14,奥地利,Hutchison 3G,1,Austria
2949,232,15,奥地利,Barablu Mobile Ltd.,1,Austria
2950,232,91,奥地利,BB,1,Austria
2951,400,3,阿塞拜疆,CATEL,1,Azerbaijan
2952,400,4,阿塞拜疆,Azerfon,1,Azerbaijan
2953,364,390,巴哈马,The Bahamas Telecommunications Company Ltd,1,Bahamas
2954,426,1,巴林,Bahrain Telecommunications Company,1,Bahrain
2955,426,2,巴林,Zain Bahrain,1,Bahrain
2956,426,4,巴林,Viva Bahrain,1,Bahrain
2957,470,1,孟加拉国,GrameenPhone Ltd,1,Bangladesh
2958,470,2,孟加拉国,Axiata Bangladesh Ltd.,1,Bangladesh
2959,470,3,孟加拉国,Orascom Telecom Holding,1,Bangladesh
2960,470,6,孟加拉国,Bharti airtel Bangladesh Ltd.,1,Bangladesh
2961,342,600,巴巴多斯,LIME (formerly known as Cable & Wireless),1,Barbados
2962,342,750,巴巴多斯,Digicel (Barbados) Limited,1,Barbados
2963,342,820,巴巴多斯,Sunbeach Communications,1,Barbados
2964,257,2,白俄罗斯,Mobile TeleSystems,1,Belarus
2965,257,3,白俄罗斯,BelCel,1,Belarus
2966,257,4,白俄罗斯,Belarussian Telecommunications Network,1,Belarus
2967,206,1,比利时,Belgacom Mobile,1,Belgium
2968,206,5,比利时,Telenet,1,Belgium
2969,206,10,比利时,France Telecom,1,Belgium
2970,206,20,比利时,KPN,1,Belgium
2971,702,67,伯利兹,Belize Telemedia,1,Belize
2972,702,99,伯利兹,SpeedNet Communications Limited,1,Belize
2973,616,1,贝宁,Benin Telecoms Mobile,1,Benin
2974,616,2,贝宁,Telecel Benin,1,Benin
2975,616,3,贝宁,Spacetel Benin,1,Benin
2976,616,4,贝宁,Bell Benin Communications,1,Benin
2977,616,5,贝宁,Glo Communication Benin,1,Benin
2978,350,1,百慕大(英国),Telecommunications (Bermuda & West Indies) Ltd,1,Bermuda (United Kingdom)
2979,350,2,百慕大(英国),M3 Wireless,1,Bermuda (United Kingdom)
2980,402,11,不丹,B-Mobile,1,Bhutan
2981,402,77,不丹,Tashi InfoComm Limited,1,Bhutan
2982,736,1,玻利维亚,Nuevatel PCS De Bolivia SA,1,Bolivia
2983,736,2,玻利维亚,Entel SA,1,Bolivia
2984,736,3,玻利维亚,Telefonica Celular De Bolivia S.A,1,Bolivia
2985,218,3,波斯尼亚与赫塞哥维纳,Public Enterprise Croatian Telecom Ltd.,1,Bosnia and Herzegovina
2986,218,5,波斯尼亚与赫塞哥维纳,RS Telecommunications JSC Banja Luka,1,Bosnia and Herzegovina
2987,218,90,波斯尼亚与赫塞哥维纳,BH Telecom,1,Bosnia and Herzegovina
2988,652,1,博茨瓦纳,Mascom Wireless (Pty) Limited,1,Botswana
2989,652,2,博茨瓦纳,Orange (Botswana) Pty Limited,1,Botswana
2990,652,4,博茨瓦纳,Botswana Telecommunications Corporation,1,Botswana
2991,724,0,巴西,"NII Holdings, Inc.",1,Brazil
2992,724,2,巴西,Telecom Italia Mobile,1,Brazil
2993,724,3,巴西,Telecom Italia Mobile,1,Brazil
2994,724,4,巴西,Telecom Italia Mobile,1,Brazil
2995,724,5,巴西,Claro,1,Brazil
2996,724,6,巴西,Vivo S.A.,1,Brazil
2997,724,55,巴西,Sercomtel Celular,1,Brazil
2998,724,10,巴西,Vivo S.A.,1,Brazil
2999,724,11,巴西,Vivo S.A.,1,Brazil
3000,724,15,巴西,CTBC Celular S.A.,1,Brazil
3001,724,16,巴西,Brasil Telecom GSM,1,Brazil
3002,724,23,巴西,Vivo S.A.,1,Brazil
3003,724,31,巴西,TNL PCS,1,Brazil
3004,724,32,巴西,CTBC Celular S.A.,1,Brazil
3005,724,33,巴西,CTBC Celular S.A.,1,Brazil
3006,724,34,巴西,CTBC Celular S.A.,1,Brazil
3007,724,39,巴西,"NII Holdings, Inc.",1,Brazil
3008,348,170,英属维尔京群岛(英国),Cable & Wireless,1,British Virgin Islands(United Kingdom)
3009,348,570,英属维尔京群岛(英国),Caribbean Cellular Telephone,1,British Virgin Islands(United Kingdom)
3010,348,770,英属维尔京群岛(英国),Digicel (BVI) Limited,1,British Virgin Islands(United Kingdom)
3011,528,1,文莱,Jabatan Telekom Brunei,1,Brunei
3012,528,2,文莱,B-Mobile Communications Sdn Bhd,1,Brunei
3013,528,11,文莱,Data Stream Technology,1,Brunei
3014,284,1,保加利亚,Mobiltel,1,Bulgaria
3015,284,3,保加利亚,BTC,1,Bulgaria
3016,284,4,保加利亚,Undisclosed,1,Bulgaria
3017,284,5,保加利亚,Cosmo Bulgaria Mobile,1,Bulgaria
3018,613,1,布基纳法索,Onatal,1,Burkina Faso
3019,613,2,布基纳法索,Celtel Burkina Faso,1,Burkina Faso
3020,613,3,布基纳法索,Telecel Faso SA,1,Burkina Faso
3021,642,1,布隆迪,Econet Wireless Burundi PLC,1,Burundi
3022,642,2,布隆迪,Africell PLC,1,Burundi
3023,642,3,布隆迪,Onatel,1,Burundi
3024,642,7,布隆迪,LACELL SU,1,Burundi
3025,642,8,布隆迪,HiTs Telecom,1,Burundi
3026,642,82,布隆迪,U-COM Burundi S.A.,1,Burundi
3027,456,1,柬埔寨,CamGSM,1,Cambodia
3028,456,2,柬埔寨,Telekom Malaysia International (Cambodia) Co. Ltd,1,Cambodia
3029,456,3,柬埔寨,S Telecom,1,Cambodia
3030,456,4,柬埔寨,Cambodia Advance Communications Co. Ltd,1,Cambodia
3031,456,5,柬埔寨,APPLIFONE CO. LTD.,1,Cambodia
3032,456,6,柬埔寨,"Latelz Co., Ltd",1,Cambodia
3033,456,18,柬埔寨,Camshin / Shinawatra,1,Cambodia
3034,456,9,柬埔寨,Sotelco Ltd.,1,Cambodia
3035,456,8,柬埔寨,Viettel,1,Cambodia
3036,624,1,喀麦隆,Mobile Telephone Network Cameroon Ltd,1,Cameroon
3037,624,2,喀麦隆,Orange Cameroun S.A.,1,Cameroon
3038,302,220,加拿大,Telus Mobility,1,Canada
3039,302,221,加拿大,Telus Mobility,1,Canada
3040,302,270,加拿大,EastLink,1,Canada
3041,302,290,加拿大,Airtel Wireless,1,Canada
3042,302,320,加拿大,DAVE Wireless,1,Canada
3043,302,350,加拿大,FIRST Networks Operations,1,Canada
3044,302,360,加拿大,Telus Mobility,1,Canada
3045,302,361,加拿大,Telus Mobility,1,Canada
3046,302,370,加拿大,Fido Solutions (Rogers Wireless),1,Canada
3047,302,380,加拿大,Dryden Mobility,1,Canada
3048,302,490,加拿大,Globalive Communications,1,Canada
3049,302,500,加拿大,Videotron,1,Canada
3050,302,510,加拿大,Videotron,1,Canada
3051,302,610,加拿大,Bell Mobility,1,Canada
3052,302,610,加拿大,Virgin Mobile Canada,1,Canada
3053,302,620,加拿大,ICE Wireless,1,Canada
3054,302,640,加拿大,Bell Mobility,1,Canada
3055,302,652,加拿大,BC Tel Mobility (Telus),1,Canada
3056,302,653,加拿大,Telus Mobility,1,Canada
3057,302,655,加拿大,MTS Mobility,1,Canada
3058,302,656,加拿大,Thunder Bay Telephone Mobility,1,Canada
3059,302,657,加拿大,Telus Mobility,1,Canada
3060,302,660,加拿大,MTS Mobility,1,Canada
3061,302,680,加拿大,SaskTel Mobility,1,Canada
3062,302,701,加拿大,MB Tel Mobility,1,Canada
3063,302,702,加拿大,MT&T Mobility (Aliant),1,Canada
3064,302,703,加拿大,New Tel Mobility (Aliant),1,Canada
3065,302,720,加拿大,Rogers Communications,1,Canada
3066,302,780,加拿大,SaskTel Mobility,1,Canada
3067,302,880,加拿大,"Shared Telus, Bell, and SaskTel",1,Canada
3068,625,1,佛得角,"CVMovel, S.A.",1,Cape Verde
3069,625,2,佛得角,T+,1,Cape Verde
3070,346,140,开曼群岛(英国),Cable & Wireless (Cayman Islands) Limited,1,Cayman Islands(United Kingdom)
3071,346,50,开曼群岛(英国),Digicel Cayman Ltd.,1,Cayman Islands(United Kingdom)
3072,623,1,中非共和国,Centrafrique Telecom Plus,1,Central African Republic
3073,623,2,中非共和国,Telecel Centrafrique,1,Central African Republic
3074,623,3,中非共和国,Orange RCA,1,Central African Republic
3075,623,4,中非共和国,Nationlink Telecom RCA,1,Central African Republic
3076,622,1,查德,Bharti Airtel SA,1,Blanchard
3077,622,2,查德,Tchad Mobile,1,Blanchard
3078,622,3,查德,TIGO - Millicom,1,Blanchard
3079,622,4,查德,Sotel Mobile,1,Blanchard
3080,730,1,智利,Entel PCS Telecomunicaciones S.A.,1,Chile
3081,730,2,智利,Telefónica Móvil de Chile,1,Chile
3082,730,3,智利,Claro Chile S.A.,1,Chile
3083,730,4,智利,Centennial Cayman Corp. Chile,1,Chile
3084,730,8,智利,VTR S.A.,1,Chile
3085,730,9,智利,Centennial Cayman Corp. Chile,1,Chile
3086,730,10,智利,Entel Telefonía Móvil S.A.,1,Chile
3087,730,99,智利,WILL Telefonía,1,Chile
3088,460,0,中国,移动,1,China
3089,460,1,中国,联通,1,China
3090,460,2,中国,移动,0,China
3091,460,11,中国,电信,1,China
3092,460,5,中国,电信,0,China
3093,460,6,中国,联通,0,China
3094,460,7,中国,移动,0,China
3095,460,20,中国,铁通,0,China
3096,460,3,中国,电信,1,China
3097,732,1,哥伦比亚,Colombia Telecomunicaciones S.A.,1,Colombia
3098,732,2,哥伦比亚,Edatel S.A.,1,Colombia
3099,732,101,哥伦比亚,Comcel Colombia,1,Colombia
